country, 2012 salt production (metric tonnes),% of world production
China,62_158_000,22.5
United States,40_200_000,14.5
India,24_500_000,8.86
Germany,19_000_000,6.88
Canada,10_844_624,3.92
Australia,10_821_000,3.91
Mexico,10_100_935,3.65
Chile,8_057_130,2.91
Netherlands,6_513_000,2.36
Brazil,6_300_000,2.28
Ukraine,6_181_415,2.24
France,6_100_000,2.21
United Kingdom,6_100_000,2.21
Poland,4_249_200,1.54
Spain,4_042_077,1.46
Turkey,4_000_000,1.45
Austria,3_193_438,1.15
Egypt,2_883_577,1.04
Italy,2_862_4400,1.04
Iran,2_800_000,1.01