pachy-,thick or stout
pallidus,pale
palustris,of the marsh
pan-,all
parviflorus,small-flowered
parvifolius,small-leaved
parvus,small
pecten,comb
ped,foot
pelagicus,of the open sea
penn-,feather or wing
penta-,five
petro-,rock or stone
phago-,eat
phenolicus,able to degrade
philippinensis,from the Philippines
pholis,horny scale
phylio-,leaf
physi-,nature
phyto-,plant
pictus,painted
platy-,flat and broad
plumosum,feathered
pod-,foot or leg or stem
poliocephalus,grey-headed
poly-,many or much
pomum,fruit
ponticus,Pontic
praecox,early
praestans,excelling
pratum,meadow
proto-,first
pruriens,itching
pseudo-,false or fake
psychrophilus,cold-loving
pterus,wing or feather
pubescens,downy
pugil,a boxer
pulchelius,pretty little
pumilus,dwarf
punctatus,spotted or marked with punctures
pungens,pungent
purpurascens,somewhat purple
purpurpeus,purple
pygo-,tail or rump