george washington,1789,1797
john adams,1797,1801
thomas jefferson,1801,1809
james madison,1809,1817
james monroe,1817,1825
john quincy adams,1825,1829
andrew jackson,1829,1837
martin van buren,1837,1841
william henry harrison,1841,1841
john tyler,1841,1845
james k. polk,1845,1849
zachary taylor,1849,1850
millard fillmore,1850,1853
franklin pierce,1853,1857
james buchanan,1857,1861
abraham lincoln,1861,1865
andrew johnson,1865,1869
ulysses s. grant,1869,1877
rutherford b. hayes,1877,1881
james a. garfield,1881,1881
chester a. arthur,1881,1885
grover cleveland,1885,1889
benjamin harrison,1889,1893
grover cleveland,1893,1897
william mckinley,1897,1901
theodore roosevelt,1901,1909
william howard taft,1909,1913
woodrow wilson,1913,1923
warren g. harding,1921,1923
calvin coolidge,1923,1929
herbert hoover,1929,1933
franklin d. roosevelt,1933,1945
harry s. truman,1945,1953
dwight d. eisenhower,1953,1961
john f. kennedy,1961,1963
lyndon b. johnson,1963,1969
richard nixon,1969,1974
gerald ford,1974,1977
jimmy carter,1977,1981
ronald reagan,1981,1989
george h.w. bush,1989,1993
bill clinton,1993,2001
george w. bush,2001,2009
barack obama,2009,2017
donald trump,2017,